t,h,P,T,ρ,a,Vx,Ax,Ay,Az,At
0.00,6.100,100.869,14.960,1.224,340.27,0.112,1.615,9.013,0.000,9.156
0.05,7.000,100.860,14.955,1.224,340.27,4.142,7.068,46.620,-4.901,47.407
0.10,8.200,100.850,14.947,1.224,340.26,9.801,6.279,196.642,-7.943,196.902
0.15,9.800,100.832,14.936,1.224,340.25,16.441,5.095,185.921,-3.028,186.016
0.20,11.600,100.801,14.925,1.224,340.25,22.31,5.303,186.510,0.675,186.586
0.25,13.700,100.784,14.911,1.223,340.24,27.104,5.052,192.566,1.629,192.639
0.30,15.200,100.751,14.901,1.223,340.23,33.188,6.207,189.674,0.316,189.776
0.35,17.100,100.729,14.889,1.223,340.23,39.17,5.166,184.902,-0.100,184.974
0.40,18.900,100.695,14.877,1.223,340.22,45.613,4.707,180.618,3.846,180.721
0.45,21.300,100.640,14.862,1.222,340.21,49.829,5.748,180.855,3.581,180.982
0.50,23.500,100.555,14.847,1.222,340.20,56.817,5.138,169.977,7.391,170.215
0.55,25.600,100.534,14.834,1.222,340.19,61.6,7.147,154.427,9.149,154.863
0.60,27.700,100.530,14.820,1.222,340.19,67.713,9.687,134.522,6.286,135.017
0.65,30.200,100.520,14.804,1.221,340.18,72.87,8.726,101.557,3.638,101.996
0.70,32.600,100.510,14.788,1.221,340.17,77.636,4.865,73.005,6.013,73.414
0.75,35.400,100.505,14.770,1.221,340.16,81.588,8.553,48.507,8.668,50.013
0.80,37.800,100.500,14.754,1.221,340.15,86.72,10.821,31.573,5.941,33.900
0.85,39.900,100.469,14.741,1.220,340.14,89.93,9.077,20.515,5.324,23.057
0.90,42.400,100.420,14.724,1.220,340.13,93.299,9.895,12.443,7.348,17.514
0.95,45.400,100.380,14.705,1.220,340.12,97.329,13.375,5.741,4.133,15.131
1.00,47.900,100.349,14.689,1.219,340.11,99.221,13.096,2.167,2.763,13.558
1.05,50.300,100.289,14.673,1.219,340.10,99.541,15.542,-1.744,3.817,16.099
1.10,52.400,100.240,14.659,1.219,340.09,98.969,26.435,-5.281,2.246,27.051
1.15,55.200,100.220,14.641,1.219,340.08,98.079,36.976,-3.645,-3.789,37.348
1.20,58.200,100.174,14.622,1.218,340.07,97.456,28.631,-2.239,-1.571,28.761
1.25,61.300,100.130,14.602,1.218,340.06,96.77,27.712,5.705,-9.651,29.894
1.30,64.300,100.115,14.582,1.217,340.05,95.991,9.960,-8.553,-0.918,13.161
1.35,67.700,100.000,14.560,1.217,340.03,95.216,10.641,-7.778,-1.808,13.305
1.40,71.000,99.990,14.539,1.217,340.02,94.445,11.086,-6.645,-2.318,13.131
1.45,74.400,99.980,14.516,1.216,340.01,93.718,7.621,-7.750,-1.672,10.997
1.50,78.000,99.970,14.493,1.216,339.99,92.957,8.575,-7.664,-1.349,11.579
1.55,81.700,99.962,14.469,1.215,339.98,92.201,9.788,-7.334,-1.500,12.322
1.60,85.600,99.897,14.444,1.215,339.96,91.45,7.965,-7.032,-1.722,10.764
1.65,90.500,99.822,14.412,1.214,339.94,90.703,8.252,-6.645,-0.983,10.640
1.70,95.400,99.771,14.380,1.214,339.93,89.969,9.149,-6.874,-1.270,11.514
1.75,100.600,99.714,14.346,1.213,339.91,89.232,7.161,-6.738,-1.672,9.974
1.80,105.200,99.657,14.316,1.213,339.89,88.498,6.874,-6.666,-1.076,9.636
1.85,109.700,99.601,14.287,1.212,339.87,87.768,7.298,-6.759,-0.861,9.984
1.90,114.600,99.540,14.255,1.212,339.85,87.042,6.659,-6.587,-1.457,9.479
1.95,119.200,99.501,14.225,1.211,339.83,86.32,7.943,-6.114,-0.883,10.063
2.00,123.400,99.440,14.198,1.211,339.82,85.603,6.831,-6.128,-0.868,9.218
2.05,127.700,99.394,14.170,1.210,339.80,84.889,5.941,-5.999,-0.574,8.463
2.10,132.000,99.334,14.142,1.210,339.79,84.18,7.542,-5.669,-0.373,9.442
2.15,136.200,99.294,14.115,1.209,339.77,83.475,7.061,-5.281,-0.753,8.850
2.20,140.500,99.250,14.087,1.209,339.75,82.773,7.312,-5.439,-0.976,9.165
2.25,144.500,99.195,14.061,1.208,339.74,82.075,6.573,-5.245,-0.653,8.435
2.30,148.700,99.145,14.033,1.208,339.72,81.381,6.781,-5.690,-0.997,8.908
2.35,152.700,99.103,14.007,1.207,339.71,80.69,6.666,-5.281,-0.373,8.513
2.40,156.700,99.058,13.981,1.207,339.69,80.002,7.032,-5.461,-0.768,8.936
2.45,160.600,99.008,13.956,1.206,339.68,79.318,6.451,-4.793,-0.997,8.098
2.50,164.600,98.957,13.930,1.206,339.66,78.638,6.056,-4.958,-0.560,7.847
2.55,168.600,98.912,13.904,1.205,339.64,77.961,6.035,-4.657,-0.596,7.646
2.60,172.500,98.869,13.879,1.205,339.63,77.288,6.085,-4.535,-0.926,7.645
2.65,176.200,98.828,13.855,1.204,339.62,76.618,6.164,-4.334,-0.459,7.549
2.70,180.100,98.777,13.829,1.204,339.60,75.952,6.128,-4.291,-0.653,7.509
2.75,183.800,98.723,13.805,1.204,339.59,75.288,5.877,-4.305,-0.596,7.309
2.80,187.500,98.689,13.781,1.203,339.57,74.628,5.741,-4.542,-0.466,7.335
2.85,191.100,98.647,13.758,1.203,339.56,73.97,5.597,-4.427,-0.466,7.152
2.90,194.800,98.607,13.734,1.202,339.54,73.315,5.554,-3.789,-0.660,6.756
2.95,198.400,98.562,13.710,1.202,339.53,72.664,4.958,-4.714,-0.502,6.860
3.00,202.100,98.519,13.686,1.201,339.52,72.015,5.475,-4.061,-0.983,6.887
3.05,205.400,98.475,13.665,1.201,339.50,71.369,5.023,-4.076,-0.100,6.469
3.10,208.800,98.436,13.643,1.201,339.49,70.727,4.485,-4.348,-0.481,6.265
3.15,212.400,98.390,13.619,1.200,339.48,70.088,5.059,-3.990,-0.517,6.463
3.20,215.800,98.365,13.597,1.200,339.46,69.451,5.346,-3.703,-0.997,6.579
3.25,219.200,98.321,13.575,1.199,339.45,68.817,4.076,-3.904,-0.502,5.666
3.30,222.500,98.276,13.554,1.199,339.44,68.186,3.789,-4.119,-0.237,5.601
3.35,225.900,98.246,13.532,1.199,339.42,67.557,4.557,-3.559,-0.387,5.795
3.40,229.200,98.201,13.510,1.198,339.41,66.931,3.566,-3.889,-0.603,5.311
3.45,232.300,98.167,13.490,1.198,339.40,66.308,3.817,-3.925,-0.517,5.500
3.50,235.300,98.121,13.471,1.198,339.39,65.687,4.334,-3.408,-0.732,5.562
3.55,238.700,98.091,13.448,1.197,339.37,65.068,3.430,-3.200,-0.158,4.694
3.60,241.700,98.055,13.429,1.197,339.36,64.452,4.313,-3.566,-1.098,5.703
3.65,244.800,98.018,13.409,1.196,339.35,63.839,4.061,-3.014,-0.675,5.102
3.70,247.800,97.982,13.389,1.196,339.34,63.228,3.215,-3.394,-0.352,4.688
3.75,250.900,97.946,13.369,1.196,339.33,62.619,3.330,-2.777,-0.560,4.372
3.80,253.900,97.915,13.350,1.195,339.32,62.013,3.358,-2.720,-0.423,4.342
3.85,256.600,97.882,13.332,1.195,339.31,61.409,3.581,-3.028,-0.524,4.719
3.90,259.700,97.843,13.312,1.195,339.29,60.808,2.684,-2.698,-0.560,3.846
3.95,262.400,97.812,13.294,1.194,339.28,60.208,2.698,-2.935,-0.344,4.001
4.00,265.200,97.783,13.276,1.194,339.27,59.611,2.777,-2.755,-0.732,3.980
4.05,267.900,97.750,13.259,1.194,339.26,59.017,2.612,-3.143,-0.172,4.090
4.10,270.700,97.718,13.240,1.193,339.25,58.424,2.605,-2.648,-0.466,3.743
4.15,273.400,97.681,13.223,1.193,339.24,57.834,2.440,-2.583,-0.689,3.619
4.20,276.100,97.644,13.205,1.193,339.23,57.245,2.124,-2.777,-0.194,3.501
4.25,278.600,97.618,13.189,1.193,339.22,56.659,2.985,-2.799,-0.574,4.132
4.30,281.300,97.595,13.172,1.192,339.21,56.074,2.842,-2.992,-0.100,4.128
4.35,283.800,97.567,13.155,1.192,339.20,55.492,2.834,-2.626,-0.918,3.972
4.40,286.500,97.539,13.138,1.192,339.19,54.911,2.511,-2.583,0.007,3.603
4.45,289.000,97.503,13.122,1.191,339.18,54.332,1.155,-2.418,0.560,2.738
4.50,291.400,97.475,13.106,1.191,339.17,53.756,3.071,-2.318,-0.294,3.859
4.55,293.500,97.447,13.092,1.191,339.16,53.181,2.067,-2.318,0.029,3.105
4.60,296.000,97.426,13.076,1.191,339.15,52.608,1.866,-2.382,-0.344,3.045
4.65,298.100,97.391,13.062,1.190,339.15,52.037,1.672,-2.268,-0.423,2.849
4.70,300.500,97.357,13.047,1.190,339.14,51.468,1.801,-2.526,0.423,3.131
4.75,302.700,97.340,13.032,1.190,339.13,50.901,1.844,-2.361,0.144,2.999
4.80,305.100,97.321,13.017,1.190,339.12,50.335,2.569,-2.203,-0.689,3.453
4.85,307.200,97.302,13.003,1.189,339.11,49.771,2.684,-2.110,0.022,3.414
4.90,309.400,97.265,12.989,1.189,339.10,49.209,1.937,-2.110,-0.596,2.926
4.95,311.500,97.240,12.975,1.189,339.09,48.649,2.095,-1.995,0.373,2.917
5.00,313.300,97.220,12.964,1.189,339.09,48.09,1.973,-1.894,-0.029,2.736
5.05,315.500,97.192,12.949,1.188,339.08,47.533,1.629,-1.629,-0.574,2.374
5.10,317.300,97.166,12.938,1.188,339.07,46.977,1.787,-2.031,0.122,2.708
5.15,319.400,97.147,12.924,1.188,339.06,46.423,1.894,-2.038,-0.344,2.804
5.20,321.300,97.128,12.912,1.188,339.06,45.87,1.378,-1.686,-0.043,2.178
5.25,323.100,97.108,12.900,1.187,339.05,45.318,1.292,-1.780,-0.517,2.259
5.30,324.900,97.084,12.888,1.187,339.04,44.768,1.607,-1.686,-0.022,2.330
5.35,326.700,97.067,12.876,1.187,339.04,44.22,1.672,-1.866,0.194,2.513
5.40,328.600,97.041,12.864,1.187,339.03,43.673,1.478,-1.636,0.086,2.207
5.45,330.400,97.025,12.852,1.187,339.02,43.127,1.729,-1.665,-0.043,2.401
5.50,332.200,97.005,12.841,1.186,339.01,42.583,2.167,-1.787,0.287,2.823
5.55,333.800,96.984,12.830,1.186,339.01,42.041,1.234,-1.363,0.158,1.846
5.60,335.600,96.961,12.819,1.186,339.00,41.5,1.320,-1.435,-0.122,1.954
5.65,337.100,96.943,12.809,1.186,339.00,40.96,1.134,-1.213,-0.172,1.669
5.70,338.900,96.923,12.797,1.186,338.99,40.422,1.693,-1.306,0.258,2.154
5.75,340.500,96.903,12.787,1.185,338.98,39.885,1.249,-1.363,0.086,1.851
5.80,342.300,96.884,12.775,1.185,338.98,39.349,1.270,-1.263,-0.237,1.807
5.85,343.800,96.869,12.765,1.185,338.97,38.815,1.378,-1.270,-0.431,1.923
5.90,345.300,96.848,12.756,1.185,338.96,38.281,0.940,-1.442,-0.079,1.723
5.95,346.900,96.829,12.745,1.185,338.96,37.749,0.904,-1.033,-0.330,1.412
6.00,348.400,96.816,12.735,1.185,338.95,37.219,0.832,-1.191,-0.423,1.514
6.05,349.900,96.790,12.726,1.184,338.95,36.689,1.571,-1.571,0.524,2.283
6.10,351.400,96.783,12.716,1.184,338.94,36.16,0.517,-1.521,0.316,1.637
6.15,352.700,96.768,12.707,1.184,338.94,35.633,1.636,-1.557,0.344,2.285
6.20,354.200,96.748,12.698,1.184,338.93,35.107,0.847,-1.098,-0.136,1.393
6.25,355.700,96.731,12.688,1.184,338.92,34.582,0.675,-1.134,-0.294,1.352
6.30,356.900,96.715,12.680,1.184,338.92,34.057,0.962,-0.962,0.022,1.360
6.35,358.100,96.699,12.672,1.183,338.92,33.534,1.098,-1.040,0.122,1.517
6.40,359.400,96.682,12.664,1.183,338.91,33.012,0.617,-0.918,0.466,1.201
6.45,360.900,96.669,12.654,1.183,338.90,32.491,1.636,-0.926,0.144,1.885
6.50,362.100,96.655,12.646,1.183,338.90,31.971,0.753,-0.976,0.079,1.235
6.55,363.300,96.641,12.639,1.183,338.90,31.451,1.055,-1.005,0.502,1.541
6.60,364.500,96.628,12.631,1.183,338.89,30.933,1.040,-0.883,0.258,1.389
6.65,365.500,96.617,12.624,1.183,338.89,30.416,1.234,-0.962,0.122,1.569
6.70,366.700,96.605,12.616,1.182,338.88,29.9,0.775,-0.883,0.122,1.181
6.75,367.600,96.589,12.611,1.182,338.88,29.385,0.804,-1.579,-0.007,1.771
6.80,368.500,96.575,12.605,1.182,338.87,28.87,0.201,0.481,0.194,0.556
6.85,369.400,96.561,12.599,1.182,338.87,28.357,0.524,-0.861,0.122,1.015
6.90,370.300,96.558,12.593,1.182,338.87,27.844,0.746,-0.926,0.230,1.211
6.95,371.200,96.553,12.587,1.182,338.86,27.332,0.775,-0.926,0.273,1.238
7.00,372.200,96.544,12.581,1.182,338.86,26.821,0.746,-0.789,0.502,1.197
7.05,373.100,96.539,12.575,1.182,338.86,26.311,0.976,-0.696,0.524,1.308
7.10,373.700,96.527,12.571,1.182,338.85,25.802,0.352,-0.804,0.768,1.166
7.15,374.600,96.510,12.565,1.182,338.85,25.293,0.631,-0.775,0.861,1.319
7.20,375.500,96.508,12.559,1.181,338.85,24.785,0.732,-0.696,0.373,1.077
7.25,376.100,96.490,12.555,1.181,338.85,24.278,0.660,-0.940,0.545,1.272
7.30,377.000,96.485,12.550,1.181,338.84,23.772,0.811,-0.603,0.459,1.110
7.35,378.000,96.471,12.543,1.181,338.84,23.266,0.890,-0.746,0.538,1.280
7.40,378.600,96.461,12.539,1.181,338.84,22.761,0.710,-0.804,0.387,1.140
7.45,379.500,96.453,12.533,1.181,338.83,22.257,0.825,-0.804,0.387,1.215
7.50,380.100,96.444,12.529,1.181,338.83,21.753,0.753,-0.402,0.273,0.896
7.55,381.000,96.436,12.524,1.181,338.83,21.25,0.832,-0.639,0.545,1.182
7.60,381.600,96.428,12.520,1.181,338.82,20.748,0.710,-0.890,0.251,1.166
7.65,382.500,96.425,12.514,1.181,338.82,20.246,0.746,-0.689,0.409,1.095
7.70,383.100,96.411,12.510,1.181,338.82,19.745,0.524,-0.718,0.179,0.906
7.75,383.700,96.406,12.506,1.181,338.82,19.244,0.768,-0.689,0.158,1.044
7.80,384.400,96.401,12.501,1.180,338.81,18.744,0.581,-0.344,0.294,0.737
7.85,385.000,96.394,12.498,1.180,338.81,18.244,0.603,-0.603,0.230,0.883
7.90,385.600,96.390,12.494,1.180,338.81,17.745,0.789,-0.402,0.230,0.915
7.95,386.200,96.371,12.490,1.180,338.81,17.247,0.603,-0.316,0.423,0.801
8.00,386.800,96.369,12.486,1.180,338.80,16.749,0.409,-0.524,0.387,0.769
8.05,387.400,96.355,12.482,1.180,338.80,16.251,0.158,-0.710,0.115,0.737
8.10,387.700,96.351,12.480,1.180,338.80,15.754,0.466,-0.825,0.201,0.969
8.15,388.300,96.347,12.476,1.180,338.80,15.257,0.373,-0.639,0.352,0.819
8.20,388.600,96.345,12.474,1.180,338.80,14.761,0.387,-0.596,0.409,0.820
8.25,388.900,96.342,12.472,1.180,338.80,14.265,0.409,-0.631,0.387,0.846
8.30,389.200,96.339,12.470,1.180,338.80,13.77,0.258,-0.603,0.832,1.060
8.35,389.500,96.338,12.468,1.180,338.79,13.275,0.402,-0.617,0.466,0.872
8.40,389.800,96.337,12.466,1.180,338.79,12.781,0.581,-0.631,0.466,0.977
8.45,389.800,96.335,12.466,1.180,338.79,12.287,0.660,-0.524,0.545,1.004
8.50,390.100,96.334,12.464,1.180,338.79,11.793,0.481,-0.617,0.144,0.795
8.55,390.400,96.332,12.462,1.180,338.79,11.299,0.675,-0.524,0.596,1.041
8.60,390.400,96.330,12.462,1.180,338.79,10.806,0.524,-0.746,0.373,0.985
8.65,390.800,96.323,12.460,1.180,338.79,10.313,0.545,-0.718,0.144,0.913
8.70,390.800,96.320,12.460,1.180,338.79,9.82,0.387,-0.710,0.079,0.813
8.75,391.100,96.318,12.458,1.180,338.79,9.328,0.402,-0.581,0.481,0.855
8.80,391.100,96.317,12.458,1.180,338.79,8.836,0.179,-0.409,0.287,0.531
8.85,391.400,96.316,12.456,1.180,338.79,8.344,0.230,-0.423,0.466,0.670
8.90,391.400,96.315,12.456,1.180,338.79,7.852,0.273,-0.639,0.179,0.717
8.95,391.400,96.314,12.456,1.180,338.79,7.361,0.122,-0.847,0.086,0.860
9.00,391.400,96.313,12.456,1.180,338.79,6.869,0.344,-0.409,0.309,0.617
9.05,391.400,96.312,12.456,1.180,338.79,6.378,0.215,-0.581,0.273,0.677
9.10,391.400,96.313,12.456,1.180,338.79,5.887,0.330,-0.689,0.330,0.832
9.15,391.400,96.316,12.456,1.180,338.79,5.397,0.194,-0.653,0.287,0.739
9.20,391.400,96.317,12.456,1.180,338.79,4.906,0.201,-0.753,0.466,0.909
9.25,391.400,96.318,12.456,1.180,338.79,4.416,0.043,-0.538,0.144,0.559
9.30,391.100,96.320,12.458,1.180,338.79,3.926,0.201,-0.617,0.251,0.696
9.35,391.100,96.322,12.458,1.180,338.79,3.436,0.158,-0.574,-0.201,0.628
9.40,390.800,96.323,12.460,1.180,338.79,2.946,0.179,-0.732,0.079,0.758
9.45,390.800,96.324,12.460,1.180,338.79,2.456,0.237,-0.502,0.158,0.577
9.50,390.400,96.325,12.462,1.180,338.79,1.966,0.230,-1.091,0.100,1.119
9.55,390.100,96.330,12.464,1.180,338.79,1.476,0.086,-0.445,0.366,0.582
9.60,389.900,96.340,12.466,1.180,338.79,0.987,0.029,-1.091,0.086,1.094
9.65,389.600,96.341,12.468,1.180,338.79,0.497,0.581,-0.517,0.775,1.098
9.70,389.500,96.342,12.468,1.180,338.79,0.007,0.445,-0.409,0.373,0.710
9.75,389.400,96.347,12.469,1.180,338.79,0.482,0.344,-0.574,0.883,1.108
9.80,389.300,96.355,12.470,1.180,338.79,1.482,0.258,-0.660,0.746,1.029
9.85,389.350,96.365,12.469,1.180,338.79,1.482,0.022,-0.502,0.459,0.681
9.90,389.200,96.370,12.470,1.180,338.80,2.482,8.941,4.155,-31.716,33.213
9.95,388.600,96.375,12.474,1.180,338.80,2.482,29.513,14.875,33.991,47.410
10.00,388.600,96.380,12.474,1.180,338.80,3.482,47.022,19.582,-9.379,51.793
10.05,388.300,96.385,12.476,1.180,338.80,3.482,93.865,-82.613,70.056,143.330
10.10,389.200,96.390,12.470,1.180,338.80,3.482,24.139,-8.482,-20.149,32.567
10.15,389.100,96.395,12.471,1.180,338.80,4.481,0.115,-0.481,8.352,8.367
10.20,389.050,96.400,12.471,1.180,338.80,4.481,1.155,14.839,6.975,16.437
10.25,388.950,96.402,12.472,1.180,338.80,4.481,48.938,-5.382,2.547,49.299
10.30,388.920,96.405,12.472,1.180,338.80,5.48,4.305,-37.112,-9.651,38.588
10.35,388.900,96.407,12.472,1.180,338.80,5.48,74.534,-1.292,40.535,84.853
10.40,388.600,96.409,12.474,1.180,338.80,5.48,28.918,-6.092,-0.926,29.567
10.45,388.000,96.412,12.478,1.180,338.80,6.476,7.427,-4.844,5.418,10.391
10.50,387.700,96.415,12.480,1.180,338.80,6.476,6.150,1.787,8.467,10.616
10.55,387.400,96.416,12.482,1.180,338.80,6.476,0.545,1.263,8.941,9.046
10.60,387.400,96.417,12.482,1.180,338.80,6.476,5.597,-3.050,4.851,8.010
10.65,386.800,96.418,12.486,1.180,338.80,7.466,6.759,-6.056,0.086,9.076
10.70,386.200,96.419,12.490,1.180,338.81,7.466,4.176,-1.055,-12.974,13.670
10.75,385.300,96.420,12.496,1.180,338.81,7.466,8.955,2.569,-2.913,9.761
10.80,384.400,96.421,12.501,1.180,338.81,7.466,16.540,5.669,8.367,19.383
10.85,383.400,96.422,12.508,1.181,338.82,7.466,0.962,1.091,2.985,3.320
10.90,382.800,96.423,12.512,1.181,338.82,7.466,2.526,-9.615,-6.487,11.871
10.95,381.900,96.424,12.518,1.181,338.82,7.466,0.287,-5.748,-8.080,9.920
11.00,381.300,96.428,12.522,1.181,338.83,7.466,0.366,-3.330,-1.249,3.575
11.05,380.700,96.431,12.525,1.181,338.83,8.214,11.388,-6.968,-7.147,15.143
11.10,380.100,96.435,12.529,1.181,338.83,8.214,10.340,-4.865,-6.322,13.060
11.15,379.200,96.443,12.535,1.181,338.83,8.214,1.342,-3.559,-2.555,4.582
11.20,378.600,96.451,12.539,1.181,338.84,8.214,0.617,-6.264,0.811,6.347
11.25,378.000,96.469,12.543,1.181,338.84,8.214,30.504,-2.318,-1.514,30.629
11.30,377.300,96.476,12.548,1.181,338.84,8.214,11.639,-2.418,2.662,12.182
11.35,376.700,96.478,12.551,1.181,338.84,8.214,4.248,0.100,4.427,6.137
11.40,376.100,96.494,12.555,1.181,338.85,8.214,2.741,-5.346,3.739,7.076
11.45,375.500,96.503,12.559,1.181,338.85,8.179,1.234,-6.164,1.858,6.555
11.50,374.900,96.509,12.563,1.182,338.85,8.179,0.653,-6.587,-0.768,6.664
11.55,374.300,96.517,12.567,1.182,338.85,8.179,0.179,-4.327,-0.789,4.402
11.60,373.700,96.523,12.571,1.182,338.85,8.179,0.251,-2.555,-0.538,2.623
11.65,373.400,96.528,12.573,1.182,338.86,8.179,0.789,-1.213,-0.172,1.457
11.70,373.100,96.538,12.575,1.182,338.86,8.179,9.400,1.055,-13.074,16.137
11.75,372.800,96.548,12.577,1.182,338.86,8.179,11.294,-1.112,-9.249,14.641
11.80,372.500,96.575,12.579,1.182,338.86,8.179,3.925,-0.043,-8.654,9.502
11.85,371.900,96.577,12.583,1.182,338.86,8.179,3.868,-1.751,-8.726,9.704
11.90,370.600,96.579,12.591,1.182,338.87,8.177,3.408,-7.506,-5.403,9.856
11.95,369.100,96.581,12.601,1.182,338.87,8.177,5.324,-9.996,-3.645,11.897
12.00,367.900,96.584,12.609,1.182,338.88,8.177,1.320,-4.277,-1.672,4.778
12.05,366.400,96.586,12.618,1.182,338.88,8.177,10.304,1.837,-0.904,10.506
12.10,365.500,96.600,12.624,1.183,338.89,8.177,6.379,1.729,8.230,10.556
12.15,364.500,96.608,12.631,1.183,338.89,8.177,2.741,1.780,9.953,10.475
12.20,363.600,96.676,12.637,1.183,338.89,8.177,0.158,-0.459,6.874,6.891
12.25,363.600,96.730,12.637,1.183,338.89,8.177,0.481,0.373,3.164,3.222
12.30,363.300,96.747,12.639,1.183,338.90,8.176,1.858,-1.213,4.406,4.933
12.35,363.000,96.717,12.641,1.183,338.90,8.176,0.366,-0.890,1.464,1.752
12.40,362.400,96.721,12.644,1.183,338.90,8.176,1.385,0.179,2.763,3.096
12.45,361.500,96.723,12.650,1.183,338.90,8.176,4.442,0.524,7.355,8.608
12.50,361.200,96.729,12.652,1.183,338.90,8.176,1.722,0.775,2.956,3.508
12.55,361.100,96.733,12.653,1.183,338.90,8.176,0.387,0.294,3.753,3.784
12.60,360.970,96.738,12.654,1.183,338.90,8.176,0.502,3.186,2.088,3.842
12.65,360.940,96.740,12.654,1.183,338.90,8.176,0.847,2.605,4.650,5.397
12.70,360.900,96.742,12.654,1.183,338.90,8.173,2.662,3.624,6.487,7.893
12.75,360.600,96.745,12.656,1.183,338.91,8.173,0.617,2.662,9.989,10.356
12.80,360.000,96.748,12.660,1.183,338.91,8.173,8.252,2.784,15.413,17.704
12.85,359.400,96.752,12.664,1.183,338.91,8.173,6.975,0.811,9.113,11.504
12.90,357.800,96.756,12.674,1.183,338.92,8.173,0.883,-3.014,2.490,4.008
12.95,356.300,96.758,12.684,1.184,338.92,8.173,4.004,-11.775,-8.503,15.066
13.00,354.800,96.763,12.694,1.184,338.93,8.173,2.820,2.583,13.131,13.677
13.05,353.300,96.788,12.704,1.184,338.93,8.173,25.918,-5.863,-26.119,37.261
13.10,351.700,96.792,12.714,1.184,338.94,8.173,21.778,-11.682,1.765,24.776
13.15,350.200,96.796,12.724,1.184,338.95,8.176,19.216,-6.315,6.221,21.162
13.20,348.700,96.808,12.733,1.185,338.95,8.176,14.875,-3.559,7.434,17.006
13.25,347.800,96.817,12.739,1.185,338.95,8.176,15.772,-5.231,2.720,16.838
13.30,346.900,96.834,12.745,1.185,338.96,8.176,19.403,-10.419,1.780,22.095
13.35,345.900,96.857,12.752,1.185,338.96,8.176,10.591,-8.518,-0.215,13.593
13.40,345.000,96.878,12.758,1.185,338.97,8.176,5.920,-4.334,-0.753,7.375
13.45,344.100,96.883,12.763,1.185,338.97,8.176,8.324,-4.564,-1.615,9.629
13.50,343.200,96.884,12.769,1.185,338.97,8.176,7.147,-4.600,0.660,8.525
13.55,342.000,96.886,12.777,1.185,338.98,8.174,7.678,-4.865,1.234,9.173
13.60,340.500,96.890,12.787,1.185,338.98,8.174,6.394,-5.166,0.746,8.254
13.65,339.200,96.903,12.795,1.186,338.99,8.174,6.429,-6.429,1.191,9.170
13.70,338.000,96.921,12.803,1.186,338.99,8.174,8.927,-8.159,0.251,12.096
13.75,337.400,96.925,12.807,1.186,338.99,8.174,6.630,-6.257,-2.382,9.423
13.80,336.800,96.929,12.811,1.186,339.00,8.174,6.544,-8.460,-3.961,11.406
13.85,336.200,96.970,12.815,1.186,339.00,8.174,14.638,-15.442,-7.434,22.539
13.90,335.600,97.032,12.819,1.186,339.00,8.174,1.442,-10.075,-6.358,12.000
13.95,335.300,97.052,12.821,1.186,339.00,8.174,3.301,-13.820,-7.714,16.168
14.00,334.400,97.062,12.826,1.186,339.01,8.173,14.208,-15.980,-6.451,22.335
14.05,333.800,97.066,12.830,1.186,339.01,8.173,11.043,-11.366,-0.753,15.866
14.10,333.500,97.073,12.832,1.186,339.01,8.173,9.931,-8.675,1.571,13.280
14.15,332.800,97.080,12.837,1.186,339.01,8.173,10.706,-8.840,2.799,14.163
14.20,331.900,97.095,12.843,1.186,339.02,8.173,5.941,-5.934,4.155,9.369
14.25,331.600,97.105,12.845,1.186,339.02,8.173,2.583,-2.899,6.142,7.267
14.30,331.600,97.108,12.845,1.186,339.02,8.173,8.410,-1.937,5.999,10.510
14.35,331.300,97.111,12.847,1.187,339.02,8.173,10.936,-2.698,3.681,11.850
14.40,330.400,97.114,12.852,1.187,339.02,8.172,5.059,1.493,3.121,6.129
14.45,329.800,97.116,12.856,1.187,339.02,8.172,2.181,3.028,0.100,3.733
14.50,328.900,97.119,12.862,1.187,339.03,8.172,0.825,6.609,-0.402,6.672
14.55,328.000,97.121,12.868,1.187,339.03,8.172,5.382,6.437,-2.246,8.685
14.60,326.700,97.123,12.876,1.187,339.04,8.172,9.443,-3.315,-0.689,10.032
14.65,326.100,97.135,12.880,1.187,339.04,8.172,8.596,0.251,-2.605,8.986
14.70,325.200,97.157,12.886,1.187,339.04,8.172,8.230,-1.708,-1.650,8.566
14.75,324.300,97.169,12.892,1.187,339.05,8.172,3.810,-2.784,-2.533,5.356
14.80,323.400,97.181,12.898,1.187,339.05,8.168,7.735,-0.007,-3.925,8.674
14.85,322.200,97.194,12.906,1.188,339.05,8.168,10.046,-4.219,-4.363,11.737
14.90,321.000,97.201,12.914,1.188,339.06,8.168,10.534,-3.911,-4.061,11.948
14.95,319.400,97.215,12.924,1.188,339.06,8.168,4.191,2.038,2.590,5.331
15.00,318.500,97.221,12.930,1.188,339.07,8.168,9.013,4.248,3.530,10.571
15.05,318.200,97.229,12.932,1.188,339.07,8.168,12.170,-2.433,7.025,14.261
15.10,317.300,97.234,12.938,1.188,339.07,8.168,2.590,-5.898,5.016,8.165
15.15,316.700,97.264,12.941,1.188,339.07,8.168,1.894,-5.611,-3.703,6.985
15.20,315.800,97.293,12.947,1.188,339.08,8.168,0.904,-1.213,-9.228,9.351
15.25,314.200,97.301,12.958,1.188,339.08,8.168,23.852,2.612,-9.328,25.744
15.30,313.000,97.313,12.966,1.189,339.09,8.169,16.533,3.473,-5.827,17.870
15.35,312.400,97.326,12.969,1.189,339.09,8.169,11.452,1.320,-0.918,11.565
